year mon day euro
2007 4 19 1.3605
2007 4 20 1.3601
2007 4 23 1.358
2007 4 24 1.3622
2007 4 25 1.3647
2007 4 26 1.359
2007 4 27 1.3625
2007 4 30 1.366
2007 5 1 1.36
2007 5 2 1.3598
2007 5 3 1.3566
2007 5 4 1.3587
2007 5 7 1.3616
2007 5 8 1.3532
2007 5 9 1.3549
2007 5 10 1.3512
2007 5 11 1.3519
2007 5 14 1.3544
2007 5 15 1.3603
2007 5 16 1.3522
2007 5 17 1.3494
2007 5 18 1.3511
2007 5 21 1.3457
2007 5 22 1.3464
2007 5 23 1.3482
2007 5 24 1.3429
2007 5 25 1.3452
2007 5 29 1.3483
2007 5 30 1.3419
2007 5 31 1.3453
2007 6 1 1.344
2007 6 4 1.3488
2007 6 5 1.3526
2007 6 6 1.3492
2007 6 7 1.3456
2007 6 8 1.3359
2007 6 11 1.3359
2007 6 12 1.3325
2007 6 13 1.3295
2007 6 14 1.3311
2007 6 15 1.3365
2007 6 18 1.3401
2007 6 19 1.3416
2007 6 20 1.3426
2007 6 21 1.3399
2007 6 22 1.3438
2007 6 25 1.345
2007 6 26 1.3468
2007 6 27 1.3433
2007 6 28 1.3466
2007 6 29 1.352
2007 7 2 1.3627
2007 7 3 1.3615
2007 7 5 1.3592
2007 7 6 1.3626
2007 7 9 1.3623
2007 7 10 1.3714
2007 7 11 1.3757
2007 7 12 1.3776
2007 7 13 1.3788
2007 7 16 1.3785
2007 7 17 1.3782
2007 7 18 1.3808
2007 7 19 1.3811
2007 7 20 1.3831
2007 7 23 1.3817
2007 7 24 1.3824
2007 7 25 1.3711
2007 7 26 1.373
2007 7 27 1.3647
2007 7 30 1.3681
2007 7 31 1.3711
2007 8 1 1.3682
2007 8 2 1.3693
2007 8 3 1.3785
2007 8 6 1.3789
2007 8 7 1.3747
2007 8 8 1.3808
2007 8 9 1.3701
2007 8 10 1.3686
2007 8 13 1.3624
2007 8 14 1.3581
2007 8 15 1.3479
2007 8 16 1.3402
2007 8 17 1.3492
2007 8 20 1.3468
2007 8 21 1.3483
2007 8 22 1.3535
2007 8 23 1.356
2007 8 24 1.3645
2007 8 27 1.3645
2007 8 28 1.3626
2007 8 29 1.3675
2007 8 30 1.3648
2007 8 31 1.3641
2007 9 3 1.3641
2007 9 4 1.3606
2007 9 5 1.3669
2007 9 6 1.3697
2007 9 7 1.3772
